Position,artists,track_name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,viral_on_tiktok
3079,capital cities,safe and sound,124,0.0,85,0,107339,8634214,Нет
3080,justin bieber,unstable,20,1.0,4,0,1350409,8632317,Нет
3081,5 seconds of summer,lie to me,30,0.0,87,0,359046,8618376,Нет
3082,labrinth,all for us,27,0.0,30,0,456762,8615171,Нет
3083,pnb rock,middle child,29,0.0,46,0,456526,8608291,Нет
3084,kanye west,every hour,13,2.0,7,0,2161465,8594532,Нет
3085,camila cabello,shameless,29,0.0,48,0,534192,8592080,Нет
3086,trinidad cardona,dinero,33,0.0,87,0,303751,8579709,Да
3087,justin bieber,off my face,21,1.0,7,0,1136732,8570847,Нет
3088,"tyler, the creator",igor's theme,17,1.0,3,(x1),1736779,8570373,Нет
3089,nicki minaj,black barbies,41,0.0,56,0,350009,8567258,Нет
3090,omi,hula hoop,75,0.0,66,0,184002,8565299,Нет
3091,bts,make it right,28,0.0,48,0,466716,8562444,Нет
3092,kids see ghosts,feel the love,17,2.0,8,0,1144115,8561692,Нет
3093,don toliver,what you need,28,0.0,25,0,603416,8545895,Нет
3094,katy perry,bon appétit,30,0.0,41,0,552263,8537072,Нет
3095,wes walker,jordan belfort,88,0.0,116,0,127628,8530253,Нет
3096,kanye west,wolves,42,0.0,40,0,396080,8513443,Нет
3097,kygo,like it is,32,0.0,51,0,455905,8506115,Нет
3098,marshmello,light it up,26,0.0,26,0,631547,8493901,Нет
3099,cardi b,money bag,23,0.0,37,0,604128,8476429,Нет
3100,jorja smith,i am,25,0.0,28,0,639179,8467665,Нет
3101,jessie j,flashlight,82,0.0,54,0,178789,8465043,Нет
3102,j. cole,c l o s e,14,0.0,12,0,2208405,8464233,Нет
3103,eminem,darkness,15,1.0,10,0,1365796,8453459,Нет
3104,drake,a keeper,13,2.0,7,0,2421095,8452277,Нет
3105,morgan wallen,more surprised than me,26,1.0,10,0,807345,8444957,Нет
3106,eminem,unaccommodating,15,1.0,9,0,1632419,8441936,Нет
3107,trippie redd,under enemy arms,27,0.0,19,0,765162,8425010,Нет
3108,lil wayne,open letter,14,1.0,10,0,2023336,8424701,Нет
3109,juice wrld,flaws and sins,24,0.0,28,0,762725,8422210,Нет
3110,old dominion,break up with him,91,0.0,123,0,116984,8421060,Нет
3111,5 seconds of summer,want you back,29,0.0,16,0,786111,8413550,Нет
3112,blueface,thotiana,27,0.0,57,0,401335,8411540,Нет
3113,ty dolla $ign,clout,33,0.0,77,0,350495,8401695,Нет
3114,justin bieber,we are,47,0.0,35,0,404865,8398536,Нет
3115,kelsea ballerini,peter pan,65,0.0,130,0,151558,8392710,Нет
3116,liam payne,bedroom floor,32,0.0,46,0,516578,8363705,Нет
3117,the pogues,fairytale of new york,22,0.0,54,0,918124,8351569,Нет
3118,drake,f*****g fans,14,0.0,20,0,2228000,8337639,Нет
3119,city girls,twerkulator,32,0.0,51,0,511096,8331766,Нет
3120,moneybagg yo,said sum,35,0.0,78,0,356474,8330978,Нет
3121,big sean,bezerk,26,0.0,31,0,683042,8319594,Нет
3122,lil yachty,one night (extended),61,0.0,114,0,175741,8319106,Нет
3123,meek mill,on me,19,0.0,15,0,861249,8314866,Нет
3124,disclosure,magnets,66,0.0,44,0,262075,8313605,Нет
3125,noah cyrus,again,39,0.0,89,0,341038,8305307,Нет
3126,taylor swift,better man (taylor's version) (from the vault),14,0.0,12,0,1620693,8299968,Нет
3127,ed sheeran,eraser,23,0.0,19,0,819916,8292015,Нет
3128,tee grizzley,2 vaults,31,0.0,89,0,381156,8290622,Нет
3129,ariana grande,obvious,21,0.0,14,0,1288523,8282802,Нет
3130,ella fitzgerald,frosty the snowman,21,0.0,40,0,744545,8280471,Нет
3131,adele,strangers by nature,13,2.0,3,(x1),2101828,8270314,Нет
3132,the weeknd,losers,50,0.0,21,0,378628,8268289,Нет
3133,tori kelly,should’ve been us,73,0.0,64,0,155938,8266712,Нет
3134,panic! at the disco,emperor's new clothes,57,0.0,50,0,248067,8261368,Нет
3135,juice wrld,sometimes,22,4.0,2,(x1),762342,8259204,Нет
3136,linkin park,heavy,35,0.0,18,0,719629,8248011,Нет
3137,machine gun kelly,emo girl,24,0.0,16,0,623768,8241881,Нет
3138,xxxtentacion,i don’t let go,15,1.0,7,0,1499350,8241320,Нет
3139,j balvin,in da getto,31,0.0,69,0,364053,8232659,Нет
3140,kevin gates,i don't get tired (#idgt),81,0.0,69,0,128622,8229119,Нет
3141,taylor swift,treacherous (taylor's version),13,1.0,8,0,1823820,8228272,Нет
3142,rita ora,anywhere,40,0.0,119,0,267127,8209245,Нет
3143,zara larsson,tg4m,43,0.0,139,0,217198,8205931,Нет
3144,pop smoke,ap  music from the film boogie,28,0.0,20,0,572340,8190773,Нет
3145,travis scott,mafia,16,3.0,3,(x1),1559622,8175614,Нет
3146,eminem,the monster,120,0.0,95,0,221482,8165851,Нет
3147,21 savage,1.5,25,0.0,17,0,948318,8142890,Нет
3148,drake,star67,47,0.0,14,0,385834,8138757,Нет
3149,joji,your man,28,0.0,22,0,676185,8137496,Нет
3150,cardi b,she bad,23,0.0,36,0,617114,8121935,Нет
3151,matoma,old thing back,73,0.0,51,0,175389,8115242,Нет
3152,mac miller,hand me downs,14,1.0,10,0,1549224,8113888,Нет
3153,florida georgia line,anything goes,91,0.0,133,0,104161,8112692,Нет
3154,big sean,pull up n wreck (with metro boomin),31,0.0,59,0,421665,8109843,Нет
3155,playboi carti,fell in luv,35,0.0,57,0,485934,8108259,Нет
3156,lil uzi vert,chrome heart tags,14,0.0,13,0,1556004,8104014,Нет
3157,mac miller,i can see,13,2.0,8,0,1634726,8095550,Нет
3158,drake,demons,15,0.0,12,0,1512380,8094831,Нет
3159,maluma,corazón,38,0.0,105,0,270078,8093826,Нет
3160,ariana grande,let me love you,49,0.0,60,0,285453,8088942,Нет
3161,marshmello,spotlight,29,0.0,55,0,462422,8087582,Нет
3162,kanye west,only one,71,0.0,34,0,197938,8082074,Нет
3163,bebe rexha,the way i are (dance with somebody),42,0.0,98,0,273048,8078299,Нет
3164,clinton kane,chicken tendies,30,0.0,27,0,466741,8066568,Нет
3165,logic,yuck,19,0.0,13,0,1134883,8053931,Нет
3166,beyoncé,energy,22,0.0,12,0,628983,8045563,Нет
3167,mora,volando  remix,31,0.0,40,0,489529,8043621,Нет
3168,adele,cry your heart out,13,2.0,8,0,1774175,8043195,Нет
3169,trey songz,nobody else but you,49,0.0,168,0,187977,8038909,Нет
3170,trippie redd,rich mf,18,1.0,8,0,883514,8035604,Нет
3171,madison beer,hurts like hell,34,0.0,105,0,302216,8031805,Нет
3172,tory lanez,jerry sprunger,23,0.0,21,0,639726,8018263,Нет
3173,adele,set fire to the rain,52,0.0,61,0,395768,8012344,Нет
3174,eminem,nice guy,17,0.0,19,0,1059393,8012032,Нет
3175,vance joy,mess is mine,95,0.0,57,0,200832,7999465,Нет
3176,desiigner,outlet,37,0.0,72,0,294739,7995082,Нет
3177,joyner lucas,i love,33,0.0,111,0,309704,7988988,Нет
3178,blake shelton,came here to forget,63,0.0,132,0,159595,7978647,Нет
3179,michael bublé,jingle bells,48,0.0,37,0,394334,7967725,Нет
3180,karol g,"ay, dios mío!",33,0.0,110,0,285589,7961628,Нет
3181,lil nas x,old town road  remix,16,0.0,18,0,860997,7955045,Нет
3182,selena gomez,boyfriend,25,0.0,27,0,573126,7953511,Нет
3183,taylor swift,closure,13,0.0,18,0,1791886,7946488,Нет
3184,james newton howard,the hanging tree,68,0.0,29,0,204016,7942682,Нет
3185,metro boomin,overdue,20,0.0,12,0,998232,7932701,Нет
3186,schoolboy q,studio,105,0.0,72,0,95927,7930738,Нет
3187,benny blanco,i found you,27,0.0,56,0,502361,7928970,Нет
3188,kyle,hey julie!,28,0.0,88,0,324190,7922944,Нет
3189,lauv,chasing fire,32,0.0,103,0,318745,7917360,Нет
3190,selena gomez,me & the rhythm,67,0.0,50,0,242107,7915349,Нет
3191,nipsey hussle,grinding all my life,30,0.0,38,0,576237,7911382,Нет
3192,drake,i guess it’s fuck me,12,0.0,16,0,1829120,7902833,Нет
3193,nico & vinz,in your arms,90,0.0,55,0,118973,7901982,Нет
3194,drake,now & forever,46,0.0,13,0,365928,7898664,Нет
3195,kanye west,wash us in the blood,17,2.0,5,0,924697,7892729,Нет
3196,kelly clarkson,"santa, can’t you hear me",18,0.0,68,0,818729,7884423,Нет
3197,jhené aiko,p*$$y fairy (otw),28,0.0,80,0,433659,7883160,Нет
3198,kenshi yonezu,kick back,29,0.0,59,0,360201,7883030,Нет
3199,yeat,flawlëss,26,0.0,12,0,718548,7883008,Нет
3200,machine gun kelly,bad things,41,0.0,129,0,233947,7881618,Нет
3201,elle king,drunk (and i don't wanna go home),36,0.0,125,0,247998,7880601,Нет
3202,"tyler, the creator",corso,16,1.0,7,0,1813583,7880542,Нет
3203,future,jumpin on a jet,24,0.0,25,0,749455,7875619,Нет
3204,metro boomin,i can't save you (interlude) [with future & feat. don toliver],14,0.0,23,0,944619,7874300,Нет
3205,taylor swift,run,13,0.0,13,0,1445568,7869420,Нет
3206,21 savage,many men,18,2.0,8,0,1347881,7868475,Нет
3207,huncho jack,black & chinese,25,1.0,5,0,1123684,7855035,Нет
3208,taylor swift,false god,16,0.0,15,0,1261363,7850096,Нет
3209,lil tjay,brothers,31,0.0,62,0,404245,7843214,Нет
3210,don toliver,flocky flocky,23,1.0,7,0,861322,7797301,Нет
3211,lil nas x,dolla sign slime,16,1.0,9,0,1242089,7797163,Нет
3212,the weeknd,best friends,16,2.0,9,0,1336838,7796076,Нет
3213,kanye west,hands on,13,0.0,12,0,1538743,7781634,Нет
3214,bing crosby,it's beginning to look a lot like christmas,18,0.0,67,0,886609,7778775,Нет
3215,logic,wizard of oz,19,0.0,20,0,1013153,7775504,Нет
3216,bad bunny,bichiyal,18,0.0,22,0,878035,7767086,Нет
3217,lil uzi vert,bust me,14,0.0,16,0,1431826,7766574,Нет
3218,selena gomez,feel me,21,0.0,26,0,709616,7761840,Нет
3219,hugh jackman,come alive,35,0.0,105,0,260828,7761640,Нет
3220,ellie goulding,burn,124,0.0,113,0,77462,7759742,Нет
3221,shawn mendes,like to be you feat. julia michaels,32,0.0,78,0,463987,7758886,Нет
3222,luke combs,without you,26,0.0,12,0,696113,7746072,Нет
3223,adele,love in the dark,28,0.0,57,0,402375,7745617,Нет
3224,eli young band,love ain't,35,0.0,138,0,261404,7742301,Нет
3225,adele,to be loved,13,2.0,9,0,1523358,7739743,Нет
3226,bo burnham,shit,32,0.0,95,0,354979,7737367,Нет
3227,jackboys,gatti,23,1.0,10,0,1066057,7732711,Нет
3228,beyoncé,cozy,17,1.0,5,0,1400754,7725012,Нет
3229,lauv,getting over you,32,0.0,79,0,365391,7714447,Нет
3230,kendrick lamar,rich  interlude,9,0.0,11,0,2747667,7706704,Нет
3231,bing crosby,mele kalikimaka (merry christmas),22,0.0,44,0,836596,7700717,Нет
3232,xxxtentacion,"alone, part 3",21,0.0,25,0,788021,7697606,Нет
3233,mac miller,complicated,13,1.0,7,0,1774316,7687137,Нет
3234,ed sheeran,bibia be ye ye,24,0.0,37,0,577606,7676756,Нет
3235,nf,when i grow up,27,0.0,48,0,481684,7662943,Нет
3236,future,d4l,16,1.0,5,0,1792991,7660258,Нет
3237,lorde,team,115,0.0,90,0,85865,7647321,Нет
3238,machine gun kelly,ay!,23,1.0,7,0,721344,7646419,Нет
3239,lizzo,tempo,33,0.0,133,0,279399,7616482,Нет
3240,drake,calling my name,12,1.0,9,0,2251224,7595404,Нет
3241,taylor swift,we are never ever getting back together (taylor's version),13,1.0,10,0,1725197,7589170,Нет
3242,mac miller,hurt feelings,21,0.0,14,0,866537,7577414,Нет
3243,shakira,monotonía,24,0.0,56,0,480852,7571267,Нет
3244,lil uzi vert,unfazed,27,0.0,27,0,749551,7571186,Нет
3245,shakira,te felicito,30,0.0,124,0,298377,7558521,Нет
3246,bing crosby,the little drummer boy,19,0.0,42,0,890391,7539973,Нет
3247,lil baby,not finished,19,0.0,18,0,777431,7537591,Нет
3248,jeremy zucker,you were good to me,35,0.0,166,0,239256,7532907,Нет
3249,billie eilish,bitches broken hearts,32,0.0,136,0,269245,7526772,Нет
3250,dj khaled,i did it,21,0.0,15,0,771432,7524625,Нет
3251,kanye west,feedback,35,0.0,36,0,402149,7492573,Нет
3252,the chainsmokers,do you mean,27,0.0,83,0,374747,7490687,Нет
3253,kanye west,keep my spirit alive,13,0.0,18,0,1423151,7488984,Нет
3254,joji,daylight,22,0.0,25,0,650439,7484957,Нет
3255,luke combs,six feet apart,27,0.0,48,0,519272,7483977,Нет
3256,machine gun kelly,daywalker!,25,0.0,15,0,690783,7483506,Нет
3257,jason derulo,cheyenne,57,0.0,59,0,165301,7476779,Нет
3258,drake,madonna,42,0.0,15,0,380798,7476593,Нет
3259,nat king cole trio,all i want for christmas (is my two front teeth)  remastered,19,0.0,28,0,756293,7473568,Нет
3260,cash cash,all my love,37,0.0,94,0,247097,7466960,Нет
3261,bts,yet to come,17,1.0,10,0,1015568,7462911,Нет
3262,hozier,work song,103,0.0,78,0,127280,7461133,Нет
3263,tory lanez,the take,33,0.0,67,0,380738,7453591,Нет
3264,metro boomin,feel the fiyaaaah,14,0.0,28,0,869619,7451371,Нет
3265,ariana grande,pete davidson,20,0.0,18,0,980109,7449868,Нет
3266,trippie redd,love scars 3,21,0.0,26,0,784171,7438635,Нет
3267,wiz khalifa,king of everything,71,0.0,111,0,134382,7434968,Нет
3268,quality control,big rocks (offset feat. young thug),28,0.0,84,0,334951,7424965,Нет
3269,niall horan,no judgement,28,0.0,59,0,454199,7424051,Нет
3270,carly rae jepsen,run away with me,65,0.0,82,0,154967,7410209,Нет
3271,don toliver,cardigan,22,0.0,37,0,751054,7409165,Нет
3272,dr. dre,the next episode,25,2.0,5,0,783963,7408055,Нет
3273,6ix9ine,rondo,21,0.0,23,0,699825,7392608,Нет
3274,pharrell williams,happy,91,0.0,77,0,233210,7391023,Нет
3275,ariana grande,goodnight n go,20,0.0,24,0,862865,7390930,Нет
3276,future,wifi lit,21,0.0,23,0,786992,7377656,Нет
3277,a$ap rocky,electric body,48,0.0,15,0,358130,7377273,Нет
3278,t.i.,no mediocre,98,0.0,52,0,116174,7375764,Нет
3279,pnb rock,i like girls,29,0.0,71,0,383121,7374548,Нет
3280,chris brown,loyal,113,0.0,134,0,97233,7361146,Нет
3281,sigala,easy love,61,0.0,64,0,176085,7355933,Нет
3282,lauv,easy love,34,0.0,94,0,323697,7351713,Нет
3283,kid ink,body language,118,0.0,116,0,85314,7340156,Нет
3284,tech n9ne,hood go crazy,83,0.0,86,0,116009,7337879,Нет
3285,tiësto,don't be shy,33,0.0,70,0,352147,7331300,Нет
3286,young stoner life,diamonds dancing,20,1.0,8,0,1081458,7330415,Нет
3287,kacey musgraves,justified,21,0.0,23,0,605215,7326605,Нет
3288,lana del rey,love,27,0.0,33,0,507275,7315854,Нет
3289,james arthur,can i be him,37,0.0,114,0,219264,7314871,Нет
3290,ariana grande,the light is coming,22,0.0,28,0,775461,7312229,Нет
3291,lana del rey,lust for life,26,0.0,31,0,685354,7311437,Нет
3292,kygo,here for you,66,0.0,62,0,199942,7302884,Нет
3293,carpenters,silent night,19,0.0,43,0,771816,7302712,Нет
3294,drake,currents,11,1.0,8,0,2394029,7299627,Нет
3295,katy perry,small talk,21,0.0,19,0,702566,7297956,Нет
3296,ed sheeran,save myself,23,0.0,42,0,560607,7291701,Нет
3297,pop smoke,gangstas,21,0.0,12,0,948553,7281938,Нет
3298,lil yachty,get dripped,21,0.0,41,0,668410,7278487,Нет
3299,ariana grande,last christmas,25,0.0,101,0,527888,7276708,Нет
3300,conan gray,people watching,30,0.0,79,0,392266,7269352,Нет
3301,j. cole,fire squad,70,0.0,16,0,252452,7262802,Нет
3302,logic,the return,22,0.0,37,0,677750,7262410,Нет
3303,lana del rey,doin' time,24,0.0,54,0,509373,7261617,Нет
3304,logic,boomtrap protocol,17,0.0,14,0,1134077,7258064,Нет
3305,camila cabello,consequences  orchestra,26,0.0,84,0,355832,7254768,Нет
3306,nle choppa,final warning,31,0.0,85,0,293505,7252444,Нет
3307,"tyler, the creator",what's good,14,1.0,8,0,1473630,7246602,Нет
3308,post malone,wasting angels,15,1.0,9,0,1199041,7246367,Нет
3309,michael bublé,all i want for christmas is you,62,0.0,21,0,342814,7242714,Нет
3310,zedd,beautiful now,59,0.0,58,0,163096,7233468,Нет
3311,drake,the remorse,12,0.0,21,0,2094298,7228769,Нет
3312,lil wayne,problems,13,0.0,13,0,1797773,7227361,Нет
3313,post malone,lemon tree,15,1.0,8,0,1212399,7226217,Нет
3314,50 cent,in da club,30,0.0,29,0,486868,7212722,Нет
3315,perry como,here we come acaroling / we wish you a merry christmas,19,0.0,49,0,715334,7211100,Нет
3316,conrad sewell,hold me up,61,0.0,71,0,167636,7207050,Нет
3317,daya,words,42,0.0,80,0,225981,7193653,Нет
3318,blackpink,bet you wanna,19,0.0,18,0,977449,7186746,Нет
3319,taylor swift,i almost do (taylor's version),13,0.0,13,0,1592708,7186116,Нет
3320,gunna,relentless,24,0.0,51,0,617782,7184801,Нет
3321,carlos vives,"colombia, mi encanto",30,0.0,106,0,268396,7180475,Нет
3322,mother mother,burning pile,33,0.0,136,0,236669,7179564,Да
3323,21 savage,slidin,16,1.0,7,0,1377037,7176318,Нет
3324,ty dolla $ign,wavy,60,0.0,150,0,141737,7152792,Нет
3325,joji,yeah right,28,0.0,74,0,419377,7135300,Нет
3326,hugh jackman,from now on,33,0.0,114,0,250995,7129500,Нет
3327,gayla peevey,i want a hippopotamus for christmas (hippo the hero),15,0.0,53,0,1182242,7089645,Нет
3328,kanye west,jesus lord,12,0.0,20,0,1414230,7082130,Нет
3329,mac demarco,my kind of woman,31,0.0,143,0,247067,7079848,Нет
3330,rockwell,somebody's watching me,14,0.0,12,0,1181045,7075416,Нет
3331,desiigner,tiimmy turner  remix,45,0.0,115,0,184918,7070798,Нет
3332,kendrick lamar,crown,9,0.0,13,0,2288034,7068255,Нет
3333,lil baby,live off my closet,14,1.0,9,0,1141329,7067209,Нет
3334,21 savage,asmr,22,0.0,28,0,827834,7066428,Нет
3335,mac miller,come back to earth,20,0.0,15,0,864462,7064707,Нет
3336,marshmello,ok not to be ok,24,0.0,17,0,649004,7061813,Нет
3337,tayler buono,technically single,36,0.0,87,0,229170,7058610,Нет
3338,ozuna,la modelo,33,0.0,113,0,267248,7057200,Нет
3339,kid cudi,another day,11,0.0,17,0,1867656,7043521,Нет
3340,fetty wap,jugg,63,0.0,71,0,179871,7039432,Нет
3341,benson boone,in the stars,23,0.0,31,0,524916,7036482,Нет
3342,megan thee stallion,plan b,21,1.0,5,0,722250,7032482,Нет
3343,skrillex,don’t go,21,0.0,15,0,768038,7031200,Нет
3344,suki waterhouse,good looking,22,0.0,56,0,417080,7030386,Нет
3345,m city jr,addicted to my ex,49,0.0,106,0,174081,7028634,Нет
3346,martin garrix,don't look down,56,0.0,45,0,200461,7026837,Нет
3347,"tyler, the creator",puppet,14,0.0,11,0,1381337,7024881,Нет
3348,blink,182  bored to death,40,0.0,36,0,431709,7018071,Нет
3349,lil pump,drug addicts,23,0.0,66,0,427240,7017731,Нет
3350,nessa barrett,i hope ur miserable until ur dead,26,0.0,52,0,385926,7012779,Нет
3351,logic,warm it up,16,0.0,18,0,1058260,6999699,Нет
3352,metro boomin,dreamcatcher,19,0.0,20,0,823387,6993448,Нет
3353,xxxtentacion,orlando,24,0.0,54,0,538995,6991353,Нет
3354,justin bieber,honest,17,0.0,13,0,837170,6991266,Нет
3355,21 savage,3am on glenwood,11,0.0,17,0,1794802,6986835,Нет
3356,adele,all night parking,13,1.0,10,0,1432666,6985895,Нет
3357,mabel,mad love,28,0.0,92,0,348127,6984545,Нет
3358,polo g,gnf (okokok),24,0.0,16,0,607909,6974871,Нет
3359,"tyler, the creator","gone, gone / thank you",15,0.0,12,0,1213023,6969054,Нет
3360,yeat,rich minion,20,0.0,22,0,592989,6965369,Нет
3361,2 chainz,whip,19,0.0,18,0,860566,6962085,Нет
3362,harry styles,"sunflower, vol. 6",16,0.0,15,0,1079377,6948043,Нет
3363,nf,clouds,23,0.0,13,0,588698,6947881,Нет
3364,loote,high without your love,39,0.0,112,0,216702,6947609,Нет
3365,j. cole,snow on tha bluff,16,3.0,1,(x1),1469240,6947322,Нет
3366,chance the rapper,smoke break,44,0.0,120,0,217952,6945155,Нет
3367,bad bunny,soliá,16,0.0,23,0,852194,6944359,Нет
3368,monsieur periné,nuestra canción,24,0.0,42,0,404745,6938660,Нет
3369,bts,on,17,0.0,25,0,654623,6932738,Нет
3370,mac miller,woods,13,0.0,16,0,1383227,6930615,Нет
3371,megan thee stallion,don’t stop,25,0.0,43,0,563393,6906809,Нет
3372,lil yachty,yacht club,23,0.0,58,0,507159,6905802,Нет
3373,eminem,em calls paul  skit,13,0.0,14,0,1267119,6903697,Нет
3374,blocboy jb,rover 2.0,28,0.0,76,0,365939,6898786,Нет
3375,morgan wallen,tennessee fan,13,0.0,11,0,1304477,6897594,Нет
3376,drake,jungle,49,0.0,23,0,293985,6895499,Нет
3377,kanye west,new again,12,0.0,21,0,1322284,6891489,Нет
3378,lynyrd skynyrd,sweet home alabama,27,0.0,32,0,442939,6886801,Нет
3379,pusha t,if you know you know,20,0.0,17,0,840937,6884959,Нет
3380,post malone,insane,15,0.0,13,0,1059392,6883955,Нет
3381,khalid,self,19,0.0,40,0,715230,6877607,Нет
3382,carrie underwood,something in the water,106,0.0,90,0,108504,6872633,Нет
3383,ynw melly,mind of melvin,23,0.0,48,0,409577,6857077,Нет
3384,migos,supastars,18,1.0,6,0,1278764,6849599,Нет
3385,billie eilish,lo vas a olvidar,17,1.0,3,(x1),913584,6841727,Нет
3386,rihanna,consideration,50,0.0,60,0,219970,6839671,Нет
3387,drake,time flies,14,0.0,11,0,1519691,6838861,Нет
3388,taylor swift,soon you’ll get better,14,0.0,14,0,1323914,6833678,Нет
3389,lil skies,bad girls,20,0.0,35,0,678175,6832950,Нет
3390,blackpink,lovesick girls,18,0.0,24,0,789737,6821378,Нет
3391,ab,soul  bloody waters,21,0.0,37,0,586151,6818033,Нет
3392,kodak black,take one,17,0.0,32,0,587513,6813799,Нет
3393,r3hab,all around the world (la la la),29,0.0,132,0,283461,6813283,Нет
3394,taylor swift,the last time,13,0.0,16,0,1454087,6806875,Нет
3395,ed sheeran,best part of me,18,0.0,25,0,680848,6791414,Нет
3396,lil uzi vert,secure the bag,13,0.0,19,0,1235135,6788157,Нет
3397,pharrell williams,sangria wine,22,0.0,49,0,510266,6787476,Нет
3398,thomas rhett,beer can’t fix,29,0.0,102,0,289629,6783357,Нет
3399,harry styles,she,14,0.0,11,0,1149268,6777158,Нет
3400,taylor swift,blank space,28,0.0,82,0,357339,6772902,Нет
3401,taylor swift,stay stay stay (taylor's version),13,0.0,14,0,1525721,6771360,Нет
3402,shawn mendes,summer of love (shawn mendes & tainy),21,0.0,31,0,629930,6769563,Нет
3403,madison beer,reckless,28,0.0,106,0,272408,6766983,Нет
3404,calvin harris,stay with me,22,0.0,24,0,541262,6764121,Нет
3405,disney characters,this is halloween,13,1.0,7,0,1421036,6761861,Нет
3406,maroon 5,help me out,27,0.0,69,0,389509,6755839,Нет
3407,quavo,lose it,21,0.0,36,0,692141,6753152,Нет
3408,twenty one pilots,chlorine,22,0.0,45,0,642510,6745948,Нет
3409,corpse,hot demon b!tches near u ! ! !,21,0.0,54,0,535262,6743949,Нет
3410,a boogie wit da hoodie,beast mode,32,0.0,97,0,288526,6725402,Нет
3411,sales,pope is a rockstar,26,0.0,96,0,351475,6723372,Нет
3412,kendrick lamar,auntie diaries,9,0.0,14,0,2118488,6720794,Нет
3413,megan thee stallion,b.i.t.c.h.,19,0.0,24,0,718139,6719384,Нет
3414,jack harlow,face of my city,22,0.0,58,0,668052,6716321,Нет
3415,lil baby,heyy,19,0.0,15,0,804305,6707783,Нет
3416,ariana grande,west side,16,0.0,12,0,1350259,6706312,Нет
3417,chris janson,buy me a boat,76,0.0,124,0,102683,6704670,Нет
3418,big sean,living single,35,0.0,82,0,262295,6704636,Нет
3419,taylor swift,babe (taylor's version) (from the vault),13,0.0,21,0,1354874,6695608,Нет
3420,bebe rexha,i'm gonna show you crazy,71,0.0,46,0,155657,6695475,Нет
3421,justin bieber,trust,37,0.0,40,0,373744,6695411,Нет
3422,lil wayne,hittas,12,0.0,14,0,1715308,6691409,Нет
3423,tyga,girls have fun,24,0.0,42,0,562355,6690813,Нет
3424,fat joe,all the way up (remix),48,0.0,122,0,169469,6683834,Нет
3425,nicki minaj,yikes,19,0.0,34,0,584109,6680369,Нет
3426,lil baby,detox,20,0.0,21,0,658631,6667618,Нет
3427,drake,desires,14,1.0,10,0,1623719,6659201,Нет
3428,travis scott,coffee bean,14,0.0,20,0,1393730,6657753,Нет
3429,j balvin,no es justo,31,0.0,150,0,248954,6657065,Нет
3430,miley cyrus,angels like you,21,0.0,48,0,489423,6655190,Нет
3431,kendrick lamar,mirror,11,0.0,18,0,1764818,6650338,Нет
3432,russ,handsomer,27,0.0,119,0,274173,6650180,Нет
3433,kids see ghosts,freeee (ghost town pt. 2),11,1.0,9,0,1117323,6647333,Нет
3434,dreamville,sunset,20,0.0,28,0,589376,6638688,Нет
3435,lil wayne,believe me,94,0.0,43,0,125989,6626497,Нет
3436,xxxtentacion,before i close my eyes,21,0.0,39,0,659654,6624039,Нет
3437,twenty one pilots,cancer,38,0.0,62,0,313968,6618097,Нет
3438,ed sheeran,overpass graffiti,15,1.0,9,0,860507,6613651,Нет
3439,kanye west,donda,11,0.0,16,0,1505125,6612289,Нет
3440,lil nas x,c7osure (you like),18,0.0,42,0,476010,6611965,Нет
3441,brett eldredge,lose my mind,74,0.0,123,0,107946,6599148,Нет
3442,lil tjay,hold on,28,0.0,61,0,405265,6594692,Нет
3443,taylor swift,everything has changed,14,0.0,15,0,1481683,6588759,Нет
3444,american authors,best day of my life,88,0.0,31,0,146197,6587611,Нет
3445,khalid,bad luck,17,0.0,21,0,986069,6587095,Нет
3446,thomas gold,magic,37,0.0,152,0,207569,6585848,Нет
3447,katy perry,rise,42,0.0,97,0,222092,6577410,Нет
3448,mike will made,it  nothing is promised,53,0.0,127,0,161585,6576150,Нет
3449,dillon francis,coming over,53,0.0,52,0,181256,6566791,Нет
3450,beyoncé,summer renaissance,14,0.0,14,0,999922,6565029,Нет
3451,bailey zimmerman,where it ends,20,0.0,24,0,579579,6558534,Нет
3452,schoolboy q,that part  black hippy remix,51,0.0,145,0,146128,6556937,Нет
3453,miley cyrus,plastic hearts,24,0.0,92,0,349811,6555700,Нет
3454,rosa walton,i really want to stay at your house,23,0.0,71,0,330238,6538766,Нет
3455,billie eilish,billie bossa nova,16,1.0,9,0,948543,6534233,Нет
3456,waka flocka flame,no hands,32,0.0,146,0,262627,6533539,Нет
3457,why don't we,big plans,29,0.0,168,0,247481,6531972,Нет
3458,adele,woman like me,12,0.0,11,0,1422662,6525979,Нет
3459,meek mill,blue notes 2,22,0.0,50,0,591415,6522477,Нет
3460,baby keem,durag activity,19,0.0,12,0,803534,6520639,Нет
3461,machine gun kelly,make up sex,19,1.0,2,(x1),768387,6517102,Нет
3462,troye sivan,wild,58,0.0,56,0,178460,6516852,Нет
3463,russell dickerson,she likes it,27,0.0,120,0,279707,6510051,Нет
3464,frank ocean,in my room,20,0.0,34,0,531222,6501289,Нет
3465,lil wayne,let it all work out,14,0.0,27,0,1145876,6492662,Нет
3466,stan kenton,lonesome train,18,0.0,61,0,456779,6491218,Нет
3467,partynextdoor,break from toronto,25,0.0,160,0,275277,6488141,Да
